,cash,dates
838,136892.82086410472,2017-01-24
839,136892.82086410472,2017-01-25
840,136892.82086410472,2017-01-26
841,136892.82086410472,2017-01-27
842,136892.82086410472,2017-01-30
843,136892.82086410472,2017-01-31
844,136892.82086410472,2017-02-01
845,136892.82086410472,2017-02-02
846,136892.82086410472,2017-02-03
847,136892.82086410472,2017-02-06
848,136892.82086410472,2017-02-07
849,136892.82086410472,2017-02-08
850,136892.82086410472,2017-02-09
851,136892.82086410472,2017-02-10
852,136892.82086410472,2017-02-13
853,136892.82086410472,2017-02-14
854,136892.82086410472,2017-02-15
855,136892.82086410472,2017-02-16
856,136892.82086410472,2017-02-17
857,136892.82086410472,2017-02-21
858,135221.85071503845,2017-02-22
859,137374.86323032403,2017-02-23
860,137374.86323032403,2017-02-23
861,137374.86323032403,2017-02-24
862,137374.86323032403,2017-02-27
863,137374.86323032403,2017-02-28
864,137374.86323032403,2017-03-01
865,137374.86323032403,2017-03-02
866,136432.52862307127,2017-03-03
867,137960.17935205906,2017-03-06
868,137960.17935205906,2017-03-06
869,136320.57027485824,2017-03-07
870,138545.26683573332,2017-03-08
871,138545.26683573332,2017-03-08
872,138545.26683573332,2017-03-09
873,138545.26683573332,2017-03-10
874,138545.26683573332,2017-03-13
875,138545.26683573332,2017-03-14
876,138545.26683573332,2017-03-15
877,138545.26683573332,2017-03-16
878,138545.26683573332,2017-03-17
879,138545.26683573332,2017-03-20
880,138545.26683573332,2017-03-21
881,138545.26683573332,2017-03-22
882,138545.26683573332,2017-03-23
883,138545.26683573332,2017-03-24
884,138545.26683573332,2017-03-27
885,138545.26683573332,2017-03-28
886,138545.26683573332,2017-03-29
887,138545.26683573332,2017-03-30
888,138545.26683573332,2017-03-31
889,138545.26683573332,2017-04-03
890,138545.26683573332,2017-04-04
891,138545.26683573332,2017-04-05
892,138545.26683573332,2017-04-06
893,138545.26683573332,2017-04-07
894,138545.26683573332,2017-04-10
895,138545.26683573332,2017-04-11
896,137456.5276823346,2017-04-12
897,139174.37995263338,2017-04-13
898,139174.37995263338,2017-04-13
899,139174.37995263338,2017-04-17
900,139174.37995263338,2017-04-18
901,139174.37995263338,2017-04-19
902,139174.37995263338,2017-04-20
903,139174.37995263338,2017-04-21
904,139174.37995263338,2017-04-24
905,139174.37995263338,2017-04-25
906,139174.37995263338,2017-04-26
907,139174.37995263338,2017-04-27
908,139174.37995263338,2017-04-28
909,139174.37995263338,2017-05-01
910,139174.37995263338,2017-05-02
911,139174.37995263338,2017-05-03
912,139174.37995263338,2017-05-04
913,139174.37995263338,2017-05-05
914,139174.37995263338,2017-05-08
915,139174.37995263338,2017-05-09
916,137506.8745535516,2017-05-10
917,139297.56400534796,2017-05-11
918,139297.56400534796,2017-05-11
919,139297.56400534796,2017-05-12
920,139297.56400534796,2017-05-15
921,139297.56400534796,2017-05-16
922,139297.56400534796,2017-05-17
923,137794.34645619142,2017-05-18
924,149405.2802061914,2017-05-19
925,149405.2802061914,2017-05-19
926,149405.2802061914,2017-05-22
927,149405.2802061914,2017-05-23
928,149405.2802061914,2017-05-24
929,149405.2802061914,2017-05-25
930,149405.2802061914,2017-05-26
931,149405.2802061914,2017-05-30
932,149405.2802061914,2017-05-31
933,149405.2802061914,2017-06-01
934,149405.2802061914,2017-06-02
935,148027.88859378238,2017-06-05
936,149346.51037496058,2017-06-06
937,149346.51037496058,2017-06-06
938,149346.51037496058,2017-06-07
939,147311.3076722348,2017-06-08
940,149654.80568427002,2017-06-09
941,149654.80568427002,2017-06-09
942,149654.80568427002,2017-06-12
943,149654.80568427002,2017-06-13
944,148116.8230888781,2017-06-14
945,148116.8230888781,2017-06-15
946,159978.4293388781,2017-06-16
947,159978.4293388781,2017-06-16
948,159978.4293388781,2017-06-19
949,158145.52363348677,2017-06-20
950,170019.12238348677,2017-06-21
951,170019.12238348677,2017-06-21
952,170019.12238348677,2017-06-22
953,170019.12238348677,2017-06-23
954,170019.12238348677,2017-06-26
955,170019.12238348677,2017-06-27
956,170019.12238348677,2017-06-28
957,170019.12238348677,2017-06-29
958,168425.05349536403,2017-06-30
959,180266.47724536405,2017-07-03
960,180266.47724536405,2017-07-03
961,178410.01657421724,2017-07-05
962,190157.54782421724,2017-07-06
963,190157.54782421724,2017-07-06
964,190157.54782421724,2017-07-07
965,190157.54782421724,2017-07-10
966,190157.54782421724,2017-07-11
967,190157.54782421724,2017-07-12
968,188382.58068404664,2017-07-13
969,200371.52193404664,2017-07-14
970,200371.52193404664,2017-07-14
971,200371.52193404664,2017-07-17
972,200371.52193404664,2017-07-18
973,200371.52193404664,2017-07-19
974,200371.52193404664,2017-07-20
975,200371.52193404664,2017-07-21
976,200371.52193404664,2017-07-24
977,200371.52193404664,2017-07-25
978,199301.59953800248,2017-07-26
979,199301.59953800248,2017-07-27
980,199301.59953800248,2017-07-28
981,211344.31203800248,2017-07-31
982,211344.31203800248,2017-07-31
983,211344.31203800248,2017-08-01
984,211344.31203800248,2017-08-02
985,211344.31203800248,2017-08-03
986,211344.31203800248,2017-08-04
987,209518.41381637144,2017-08-07
988,221583.64881637145,2017-08-08
989,221583.64881637145,2017-08-08
990,221583.64881637145,2017-08-09
991,221583.64881637145,2017-08-10
992,220185.10509137265,2017-08-11
993,220185.10509137265,2017-08-14
994,222100.53067641534,2017-08-15
995,222100.53067641534,2017-08-15
996,222100.53067641534,2017-08-16
997,222100.53067641534,2017-08-17
998,222100.53067641534,2017-08-18
999,222100.53067641534,2017-08-21
1000,222100.53067641534,2017-08-22
1001,222100.53067641534,2017-08-23
1002,222100.53067641534,2017-08-24
1003,222100.53067641534,2017-08-25
1004,222100.53067641534,2017-08-28
1005,222100.53067641534,2017-08-29
1006,222100.53067641534,2017-08-30
1007,222100.53067641534,2017-08-31
1008,222100.53067641534,2017-09-01
1009,220883.9048499052,2017-09-05
1010,220883.9048499052,2017-09-06
1011,220883.9048499052,2017-09-07
1012,220883.9048499052,2017-09-08
1013,233013.4410999052,2017-09-11
1014,233013.4410999052,2017-09-11
1015,233013.4410999052,2017-09-12
1016,233013.4410999052,2017-09-13
1017,233013.4410999052,2017-09-14
1018,233013.4410999052,2017-09-15
1019,233013.4410999052,2017-09-18
1020,233013.4410999052,2017-09-19
1021,233013.4410999052,2017-09-20
1022,233013.4410999052,2017-09-21
1023,233013.4410999052,2017-09-22
1024,233013.4410999052,2017-09-25
1025,233013.4410999052,2017-09-26
1026,233013.4410999052,2017-09-27
1027,233013.4410999052,2017-09-28
1028,233013.4410999052,2017-09-29
1029,233013.4410999052,2017-10-02
1030,233013.4410999052,2017-10-03
1031,233013.4410999052,2017-10-04
1032,233013.4410999052,2017-10-05
1033,233013.4410999052,2017-10-06
1034,231666.07393594802,2017-10-09
1035,232905.5443693,2017-10-10
1036,232905.5443693,2017-10-10
1037,232905.5443693,2017-10-11
1038,232905.5443693,2017-10-12
1039,232905.5443693,2017-10-13
1040,232905.5443693,2017-10-16
1041,232905.5443693,2017-10-17
1042,232905.5443693,2017-10-18
1043,232905.5443693,2017-10-19
1044,232905.5443693,2017-10-20
1045,232905.5443693,2017-10-23
1046,232905.5443693,2017-10-24
1047,232905.5443693,2017-10-25
1048,231208.05390650997,2017-10-26
1049,231208.05390650997,2017-10-27
1050,243750.60015650996,2017-10-30
1051,243750.60015650996,2017-10-30
1052,243750.60015650996,2017-10-31
1053,243750.60015650996,2017-11-01
1054,243750.60015650996,2017-11-02
1055,243750.60015650996,2017-11-03
1056,242589.67765416205,2017-11-06
1057,242589.67765416205,2017-11-07
1058,242157.0779662222,2017-11-08
1059,242157.0779662222,2017-11-09
1060,254745.79046622218,2017-11-10
1061,254745.79046622218,2017-11-10
1062,254745.79046622218,2017-11-13
1063,253119.87589068597,2017-11-14
1064,265622.39839068596,2017-11-15
1065,265622.39839068596,2017-11-15
1066,265622.39839068596,2017-11-16
1067,265622.39839068596,2017-11-17
1068,265622.39839068596,2017-11-20
1069,265622.39839068596,2017-11-21
1070,265622.39839068596,2017-11-22
1071,265622.39839068596,2017-11-24
1072,265622.39839068596,2017-11-27
1073,265622.39839068596,2017-11-28
1074,265622.39839068596,2017-11-29
1075,265622.39839068596,2017-11-30
1076,265622.39839068596,2017-12-01
1077,264138.3115534121,2017-12-04
1078,264176.50034732476,2017-12-05
1079,264027.29854135367,2017-12-06
1080,264027.29854135367,2017-12-07
1081,264027.29854135367,2017-12-08
1082,276994.74979135365,2017-12-11
1083,276994.74979135365,2017-12-11
1084,276994.74979135365,2017-12-12
1085,275435.2824200056,2017-12-13
1086,288364.0749200056,2017-12-14
1087,288364.0749200056,2017-12-14
1088,288364.0749200056,2017-12-15
1089,288364.0749200056,2017-12-18
1090,288364.0749200056,2017-12-19
1091,288364.0749200056,2017-12-20
1092,288364.0749200056,2017-12-21
1093,288364.0749200056,2017-12-22
1094,288364.0749200056,2017-12-26
1095,288364.0749200056,2017-12-27
1096,288364.0749200056,2017-12-28
1097,288364.0749200056,2017-12-29
1098,288364.0749200056,2018-01-02
1099,288364.0749200056,2018-01-03
1100,288364.0749200056,2018-01-04
1101,288364.0749200056,2018-01-05
1102,286593.92583050893,2018-01-08
1103,286593.92583050893,2018-01-09
1104,299991.49833050894,2018-01-10
1105,299991.49833050894,2018-01-10
1106,298158.6014121097,2018-01-11
1107,298158.6014121097,2018-01-12
