,cash,dates
1221,127061.63265602587,2018-05-09
1222,127128.20662251802,2018-05-10
1223,126279.81750779567,2018-05-11
1224,125992.41180509877,2018-05-14
1225,127319.06845839771,2018-05-15
1226,128567.0653308351,2018-05-16
1227,128567.0653308351,2018-05-16
1228,128567.0653308351,2018-05-17
1229,127789.28379653854,2018-05-18
1230,141112.75629653854,2018-05-21
1231,141112.75629653854,2018-05-21
1232,141112.75629653854,2018-05-22
1233,141112.75629653854,2018-05-23
1234,141112.75629653854,2018-05-24
1235,141112.75629653854,2018-05-25
1236,141112.75629653854,2018-05-29
1237,141112.75629653854,2018-05-30
1238,141112.75629653854,2018-05-31
1239,141112.75629653854,2018-06-01
1240,141112.75629653854,2018-06-04
1241,141112.75629653854,2018-06-05
1242,141112.75629653854,2018-06-06
1243,141112.75629653854,2018-06-07
1244,141112.75629653854,2018-06-08
1245,141112.75629653854,2018-06-11
1246,141112.75629653854,2018-06-12
1247,141112.75629653854,2018-06-13
1248,139761.42341472584,2018-06-14
1249,141143.646522593,2018-06-15
1250,141143.646522593,2018-06-15
1251,141143.646522593,2018-06-18
1252,141143.646522593,2018-06-19
1253,141143.646522593,2018-06-20
1254,139727.28224091817,2018-06-21
1255,139727.28224091817,2018-06-22
1256,141274.73295653076,2018-06-25
1257,141274.73295653076,2018-06-25
1258,139953.80582340102,2018-06-26
1259,139953.80582340102,2018-06-27
1260,139953.80582340102,2018-06-28
1261,141812.87889898368,2018-06-29
1262,141812.87889898368,2018-06-29
1263,141812.87889898368,2018-07-02
1264,141812.87889898368,2018-07-03
1265,141812.87889898368,2018-07-05
1266,141812.87889898368,2018-07-06
1267,140408.48168054217,2018-07-09
1268,142084.92949266845,2018-07-10
1269,142084.92949266845,2018-07-10
1270,142084.92949266845,2018-07-11
1271,142084.92949266845,2018-07-12
1272,142084.92949266845,2018-07-13
1273,140656.54561766153,2018-07-16
1274,140656.54561766153,2018-07-17
1275,140656.54561766153,2018-07-18
1276,140656.54561766153,2018-07-19
1277,140656.54561766153,2018-07-20
1278,140656.54561766153,2018-07-23
1279,140656.54561766153,2018-07-24
1280,141144.95051254283,2018-07-25
1281,154977.47051254282,2018-07-26
1282,154977.47051254282,2018-07-26
1283,154977.47051254282,2018-07-27
1284,154977.47051254282,2018-07-30
1285,154977.47051254282,2018-07-31
1286,154977.47051254282,2018-08-01
1287,154977.47051254282,2018-08-02
1288,154977.47051254282,2018-08-03
1289,154091.7721626619,2018-08-06
1290,153701.6298945795,2018-08-07
1291,153701.6298945795,2018-08-08
1292,153701.6298945795,2018-08-09
1293,153959.670416886,2018-08-10
1294,153959.670416886,2018-08-13
1295,154794.59580479082,2018-08-14
1296,154890.02142302983,2018-08-15
1297,154800.47081212458,2018-08-16
1298,158438.17774921397,2018-08-17
1299,158438.17774921397,2018-08-17
1300,158438.17774921397,2018-08-20
1301,158438.17774921397,2018-08-21
1302,158438.17774921397,2018-08-22
1303,158438.17774921397,2018-08-23
1304,158438.17774921397,2018-08-24
1305,156839.39816724046,2018-08-27
1306,158515.84753046115,2018-08-28
1307,158515.84753046115,2018-08-28
1308,156544.38106158774,2018-08-29
1309,156544.38106158774,2018-08-30
