,cash,dates
526,15366.679121274541,2016-01-21
527,16873.05557587415,2016-01-22
528,16873.05557587415,2016-01-22
529,16873.05557587415,2016-01-25
530,15334.859600763815,2016-01-26
531,15334.859600763815,2016-01-27
532,17292.212021873194,2016-01-28
533,17292.212021873194,2016-01-28
534,15765.071318312595,2016-01-29
535,15765.071318312595,2016-02-01
536,17279.60616435446,2016-02-02
537,17279.60616435446,2016-02-02
538,17279.60616435446,2016-02-03
539,17279.60616435446,2016-02-04
540,17279.60616435446,2016-02-05
541,17279.60616435446,2016-02-08
542,17279.60616435446,2016-02-09
543,17279.60616435446,2016-02-10
544,17279.60616435446,2016-02-11
545,17279.60616435446,2016-02-12
546,17279.60616435446,2016-02-16
547,15658.578153963103,2016-02-17
548,15658.578153963103,2016-02-18
549,17530.400081223517,2016-02-19
550,17530.400081223517,2016-02-19
551,17530.400081223517,2016-02-22
552,17530.400081223517,2016-02-23
553,17530.400081223517,2016-02-24
554,17530.400081223517,2016-02-25
555,17530.400081223517,2016-02-26
556,17530.400081223517,2016-02-29
557,17530.400081223517,2016-03-01
558,17530.400081223517,2016-03-02
559,15948.250197108464,2016-03-03
560,17596.269147392035,2016-03-04
561,17596.269147392035,2016-03-04
562,17596.269147392035,2016-03-07
563,16132.103109883667,2016-03-08
564,17476.266859969015,2016-03-09
565,17476.266859969015,2016-03-09
566,17476.266859969015,2016-03-10
567,16024.298642467718,2016-03-11
568,16024.298642467718,2016-03-14
569,16024.298642467718,2016-03-15
570,17512.29122425695,2016-03-16
571,17512.29122425695,2016-03-16
572,17512.29122425695,2016-03-17
573,15985.31225777508,2016-03-18
574,17416.41164412381,2016-03-21
575,17416.41164412381,2016-03-21
576,17416.41164412381,2016-03-22
577,17416.41164412381,2016-03-23
578,17416.41164412381,2016-03-24
579,15988.420393190023,2016-03-28
580,17174.95866397037,2016-03-29
581,17174.95866397037,2016-03-29
582,17174.95866397037,2016-03-30
583,17174.95866397037,2016-03-31
584,17174.95866397037,2016-04-01
585,17174.95866397037,2016-04-04
586,17174.95866397037,2016-04-05
587,17174.95866397037,2016-04-06
588,17174.95866397037,2016-04-07
589,17174.95866397037,2016-04-08
590,17174.95866397037,2016-04-11
591,15708.832797552017,2016-04-12
592,16946.846640063854,2016-04-13
593,16946.846640063854,2016-04-13
594,16946.846640063854,2016-04-14
595,16946.846640063854,2016-04-15
596,16946.846640063854,2016-04-18
597,15488.724444669831,2016-04-19
598,17014.820789862515,2016-04-20
599,17014.820789862515,2016-04-20
600,17014.820789862515,2016-04-21
601,17014.820789862515,2016-04-22
602,17014.820789862515,2016-04-25
603,17014.820789862515,2016-04-26
604,17014.820789862515,2016-04-27
605,17014.820789862515,2016-04-28
606,17014.820789862515,2016-04-29
607,17014.820789862515,2016-05-02
608,17014.820789862515,2016-05-03
609,17014.820789862515,2016-05-04
610,17014.820789862515,2016-05-05
611,17014.820789862515,2016-05-06
612,15546.585586543155,2016-05-09
613,16879.726264193294,2016-05-10
614,16879.726264193294,2016-05-10
615,15455.917095707464,2016-05-11
616,15455.917095707464,2016-05-12
617,16816.498331898834,2016-05-13
618,16816.498331898834,2016-05-13
619,16816.498331898834,2016-05-16
620,16816.498331898834,2016-05-17
621,16816.498331898834,2016-05-18
622,16816.498331898834,2016-05-19
623,16816.498331898834,2016-05-20
624,16816.498331898834,2016-05-23
625,16816.498331898834,2016-05-24
626,16816.498331898834,2016-05-25
627,16816.498331898834,2016-05-26
628,16816.498331898834,2016-05-27
629,16816.498331898834,2016-05-31
630,16816.498331898834,2016-06-01
631,16816.498331898834,2016-06-02
632,16816.498331898834,2016-06-03
633,16816.498331898834,2016-06-06
634,16816.498331898834,2016-06-07
635,16816.498331898834,2016-06-08
636,16816.498331898834,2016-06-09
637,16816.498331898834,2016-06-10
638,16816.498331898834,2016-06-13
639,16816.498331898834,2016-06-14
640,16816.498331898834,2016-06-15
641,16816.498331898834,2016-06-16
642,16816.498331898834,2016-06-17
643,15240.373484462356,2016-06-20
644,16485.360833573068,2016-06-21
645,16485.360833573068,2016-06-21
646,15235.209456659079,2016-06-22
647,16314.780584861735,2016-06-23
648,16314.780584861735,2016-06-23
649,16314.780584861735,2016-06-24
650,16314.780584861735,2016-06-27
651,16314.780584861735,2016-06-28
652,16314.780584861735,2016-06-29
653,16314.780584861735,2016-06-30
654,16314.780584861735,2016-07-01
655,14868.933274381328,2016-07-05
656,14868.933274381328,2016-07-06
657,16390.105440486008,2016-07-07
658,16390.105440486008,2016-07-07
659,16390.105440486008,2016-07-08
660,16390.105440486008,2016-07-11
661,16390.105440486008,2016-07-12
662,16390.105440486008,2016-07-13
663,16390.105440486008,2016-07-14
664,16390.105440486008,2016-07-15
665,16390.105440486008,2016-07-18
666,16390.105440486008,2016-07-19
667,16390.105440486008,2016-07-20
668,16390.105440486008,2016-07-21
669,16390.105440486008,2016-07-22
670,16390.105440486008,2016-07-25
671,16390.105440486008,2016-07-26
672,16390.105440486008,2016-07-27
673,16390.105440486008,2016-07-28
674,16390.105440486008,2016-07-29
675,16390.105440486008,2016-08-01
676,16390.105440486008,2016-08-02
677,16390.105440486008,2016-08-03
678,16390.105440486008,2016-08-04
679,16390.105440486008,2016-08-05
680,16390.105440486008,2016-08-08
681,16390.105440486008,2016-08-09
682,16390.105440486008,2016-08-10
683,16390.105440486008,2016-08-11
684,16390.105440486008,2016-08-12
685,16390.105440486008,2016-08-15
686,16390.105440486008,2016-08-16
687,16390.105440486008,2016-08-17
688,16390.105440486008,2016-08-18
689,16390.105440486008,2016-08-19
690,16390.105440486008,2016-08-22
691,16390.105440486008,2016-08-23
692,16390.105440486008,2016-08-24
693,16390.105440486008,2016-08-25
694,16390.105440486008,2016-08-26
695,16390.105440486008,2016-08-29
696,16390.105440486008,2016-08-30
697,16390.105440486008,2016-08-31
698,16390.105440486008,2016-09-01
699,14999.378351428786,2016-09-02
700,14999.378351428786,2016-09-06
701,16456.829258171925,2016-09-07
702,16456.829258171925,2016-09-07
703,16456.829258171925,2016-09-08
704,16456.829258171925,2016-09-09
705,16456.829258171925,2016-09-12
706,16456.829258171925,2016-09-13
707,16456.829258171925,2016-09-14
708,16456.829258171925,2016-09-15
709,16456.829258171925,2016-09-16
710,16456.829258171925,2016-09-19
711,14899.749634945865,2016-09-20
712,14899.749634945865,2016-09-21
713,16621.646460645356,2016-09-22
714,16621.646460645356,2016-09-22
715,16621.646460645356,2016-09-23
716,16621.646460645356,2016-09-26
717,16621.646460645356,2016-09-27
718,16621.646460645356,2016-09-28
719,16621.646460645356,2016-09-29
720,16621.646460645356,2016-09-30
721,16621.646460645356,2016-10-03
722,15077.527035007757,2016-10-04
723,16669.358968988552,2016-10-05
724,16669.358968988552,2016-10-05
725,15292.832282148449,2016-10-06
726,15292.832282148449,2016-10-07
727,16655.43772465047,2016-10-10
728,16655.43772465047,2016-10-10
729,16655.43772465047,2016-10-11
730,16655.43772465047,2016-10-12
731,16655.43772465047,2016-10-13
732,16655.43772465047,2016-10-14
733,16655.43772465047,2016-10-17
734,16655.43772465047,2016-10-18
735,16655.43772465047,2016-10-19
736,16655.43772465047,2016-10-20
737,16655.43772465047,2016-10-21
738,16655.43772465047,2016-10-24
739,16655.43772465047,2016-10-25
740,16655.43772465047,2016-10-26
741,16655.43772465047,2016-10-27
742,16655.43772465047,2016-10-28
743,16655.43772465047,2016-10-31
744,16655.43772465047,2016-11-01
745,16655.43772465047,2016-11-02
746,16655.43772465047,2016-11-03
747,16655.43772465047,2016-11-04
748,16655.43772465047,2016-11-07
749,14645.169965147841,2016-11-08
750,14980.397312124036,2016-11-09
751,14623.187943136474,2016-11-10
752,14623.187943136474,2016-11-11
753,16592.05760682987,2016-11-14
754,16592.05760682987,2016-11-14
755,16592.05760682987,2016-11-15
756,16592.05760682987,2016-11-16
757,16592.05760682987,2016-11-17
758,16592.05760682987,2016-11-18
759,16592.05760682987,2016-11-21
760,16592.05760682987,2016-11-22
761,16592.05760682987,2016-11-23
762,16592.05760682987,2016-11-25
763,16592.05760682987,2016-11-28
764,16592.05760682987,2016-11-29
765,16592.05760682987,2016-11-30
766,16592.05760682987,2016-12-01
767,16592.05760682987,2016-12-02
768,14879.90679880399,2016-12-05
769,14879.90679880399,2016-12-06
770,16620.301736982066,2016-12-07
771,16620.301736982066,2016-12-07
772,16620.301736982066,2016-12-08
773,16620.301736982066,2016-12-09
774,16620.301736982066,2016-12-12
775,16620.301736982066,2016-12-13
776,16620.301736982066,2016-12-14
777,16620.301736982066,2016-12-15
778,16620.301736982066,2016-12-16
779,16620.301736982066,2016-12-19
780,16620.301736982066,2016-12-20
781,16620.301736982066,2016-12-21
782,16620.301736982066,2016-12-22
783,16620.301736982066,2016-12-23
784,16620.301736982066,2016-12-27
785,16620.301736982066,2016-12-28
786,16620.301736982066,2016-12-29
787,16620.301736982066,2016-12-30
788,16620.301736982066,2017-01-03
789,16620.301736982066,2017-01-04
790,16620.301736982066,2017-01-05
791,16620.301736982066,2017-01-06
792,16620.301736982066,2017-01-09
793,16620.301736982066,2017-01-10
794,16620.301736982066,2017-01-11
795,16620.301736982066,2017-01-12
796,16620.301736982066,2017-01-13
797,16620.301736982066,2017-01-17
798,16620.301736982066,2017-01-18
799,16620.301736982066,2017-01-19
800,16620.301736982066,2017-01-20
801,16620.301736982066,2017-01-23
802,16620.301736982066,2017-01-24
803,16620.301736982066,2017-01-25
804,16620.301736982066,2017-01-26
805,16620.301736982066,2017-01-27
806,16620.301736982066,2017-01-30
807,16620.301736982066,2017-01-31
808,16620.301736982066,2017-02-01
809,16620.301736982066,2017-02-02
810,16620.301736982066,2017-02-03
811,16620.301736982066,2017-02-06
812,16620.301736982066,2017-02-07
813,16620.301736982066,2017-02-08
814,16620.301736982066,2017-02-09
815,16620.301736982066,2017-02-10
816,15433.716175020956,2017-02-13
817,15317.922268724233,2017-02-14
818,16493.19110719069,2017-02-15
819,16493.19110719069,2017-02-15
820,15282.18761093793,2017-02-16
821,16470.298086382638,2017-02-17
822,16470.298086382638,2017-02-17
823,16470.298086382638,2017-02-21
824,16470.298086382638,2017-02-22
