,cash,dates
1528,60902.60278616918,2019-12-24
1529,60902.60278616918,2019-12-26
1530,60902.60278616918,2019-12-27
1531,60902.60278616918,2019-12-30
1532,61528.210761169175,2019-12-31
1533,61528.210761169175,2019-12-31
1534,61528.210761169175,2020-01-02
1535,61528.210761169175,2020-01-03
1536,61856.3932755263,2020-01-06
1537,61856.3932755263,2020-01-07
1538,61856.3932755263,2020-01-08
1539,61856.3932755263,2020-01-09
1540,61856.3932755263,2020-01-10
1541,61856.3932755263,2020-01-13
1542,61856.3932755263,2020-01-14
1543,61856.3932755263,2020-01-15
1544,61856.3932755263,2020-01-16
1545,61856.3932755263,2020-01-17
1546,61897.51470638472,2020-01-21
1547,61897.51470638472,2020-01-22
1548,61897.51470638472,2020-01-23
1549,61897.51470638472,2020-01-24
1550,61897.51470638472,2020-01-27
1551,61897.51470638472,2020-01-28
1552,61897.51470638472,2020-01-29
1553,61897.51470638472,2020-01-30
1554,61897.51470638472,2020-01-31
1555,61897.51470638472,2020-02-03
1556,61274.47215786485,2020-02-04
1557,64559.14180786486,2020-02-05
1558,64559.14180786486,2020-02-05
1559,64559.14180786486,2020-02-06
1560,64211.81478068653,2020-02-07
1561,64211.81478068653,2020-02-10
1562,64211.81478068653,2020-02-11
1563,64211.81478068653,2020-02-12
1564,64211.81478068653,2020-02-13
1565,64211.81478068653,2020-02-14
1566,64211.81478068653,2020-02-18
1567,64211.81478068653,2020-02-19
1568,64211.81478068653,2020-02-20
1569,64725.439310716436,2020-02-21
1570,64725.439310716436,2020-02-24
1571,64725.439310716436,2020-02-25
1572,64725.439310716436,2020-02-26
1573,64725.439310716436,2020-02-27
1574,64725.439310716436,2020-02-28
1575,64725.439310716436,2020-03-02
1576,64725.439310716436,2020-03-03
1577,64725.439310716436,2020-03-04
1578,64725.439310716436,2020-03-05
1579,64016.43467743193,2020-03-06
1580,64016.43467743193,2020-03-06
1581,64016.43467743193,2020-03-09
1582,64016.43467743193,2020-03-10
1583,64016.43467743193,2020-03-11
1584,64016.43467743193,2020-03-12
1585,64016.43467743193,2020-03-13
1586,64016.43467743193,2020-03-16
1587,64016.43467743193,2020-03-17
1588,64016.43467743193,2020-03-18
1589,64016.43467743193,2020-03-19
1590,63775.09348370433,2020-03-20
1591,63775.09348370433,2020-03-23
1592,63775.09348370433,2020-03-24
1593,63775.09348370433,2020-03-25
1594,63775.09348370433,2020-03-26
1595,63775.09348370433,2020-03-27
1596,63775.09348370433,2020-03-30
1597,63775.09348370433,2020-03-31
1598,63775.09348370433,2020-04-01
1599,63775.09348370433,2020-04-02
1600,63545.284308731876,2020-04-03
1601,63545.284308731876,2020-04-06
1602,63545.284308731876,2020-04-07
1603,63545.284308731876,2020-04-08
1604,63545.284308731876,2020-04-09
1605,63545.284308731876,2020-04-13
1606,63545.284308731876,2020-04-14
1607,63545.284308731876,2020-04-15
1608,63545.284308731876,2020-04-16
1609,63766.54968643234,2020-04-17
1610,63766.54968643234,2020-04-20
1611,63766.54968643234,2020-04-21
1612,63766.54968643234,2020-04-22
1613,63766.54968643234,2020-04-23
1614,63766.54968643234,2020-04-24
1615,63766.54968643234,2020-04-27
1616,63766.54968643234,2020-04-28
1617,63766.54968643234,2020-04-29
1618,63766.54968643234,2020-04-30
1619,64421.51698270376,2020-05-01
1620,64421.51698270376,2020-05-04
1621,64421.51698270376,2020-05-05
1622,64421.51698270376,2020-05-06
1623,64421.51698270376,2020-05-07
1624,64421.51698270376,2020-05-08
1625,64421.51698270376,2020-05-11
1626,64421.51698270376,2020-05-12
1627,64421.51698270376,2020-05-13
1628,64421.51698270376,2020-05-14
1629,64009.93162040377,2020-05-15
1630,64009.93162040377,2020-05-15
1631,63866.80249776788,2020-05-18
1632,63866.80249776788,2020-05-19
1633,63866.80249776788,2020-05-20
1634,63866.80249776788,2020-05-21
1635,63866.80249776788,2020-05-22
1636,63866.80249776788,2020-05-26
1637,63866.80249776788,2020-05-27
1638,63866.80249776788,2020-05-28
1639,63866.80249776788,2020-05-29
1640,64190.98551508126,2020-06-01
1641,64190.98551508126,2020-06-02
1642,64190.98551508126,2020-06-03
1643,64190.98551508126,2020-06-04
1644,64190.98551508126,2020-06-05
1645,64190.98551508126,2020-06-08
1646,64190.98551508126,2020-06-09
