,cash,dates
309,29669.947797717545,2015-03-31
310,29669.947797717545,2015-04-01
311,29669.947797717545,2015-04-02
312,28210.788826897,2015-04-06
313,29722.990016057924,2015-04-07
314,29722.990016057924,2015-04-07
315,29722.990016057924,2015-04-08
316,29722.990016057924,2015-04-09
317,29722.990016057924,2015-04-10
318,29722.990016057924,2015-04-13
319,29722.990016057924,2015-04-14
320,29722.990016057924,2015-04-15
321,29722.990016057924,2015-04-16
322,29722.990016057924,2015-04-17
323,29722.990016057924,2015-04-20
324,29722.990016057924,2015-04-21
325,29722.990016057924,2015-04-22
326,29722.990016057924,2015-04-23
327,29722.990016057924,2015-04-24
328,29722.990016057924,2015-04-27
329,29722.990016057924,2015-04-28
330,29722.990016057924,2015-04-29
331,29722.990016057924,2015-04-30
332,29722.990016057924,2015-05-01
333,29722.990016057924,2015-05-04
334,29722.990016057924,2015-05-05
335,29722.990016057924,2015-05-06
336,28210.6237155466,2015-05-07
337,29747.926084477756,2015-05-08
338,29747.926084477756,2015-05-08
339,29747.926084477756,2015-05-11
340,28472.32163107958,2015-05-12
341,29851.375833669947,2015-05-13
342,29851.375833669947,2015-05-13
343,28336.152231504373,2015-05-14
344,28336.152231504373,2015-05-15
345,29883.01351179806,2015-05-18
346,29883.01351179806,2015-05-18
347,29883.01351179806,2015-05-19
348,29883.01351179806,2015-05-20
349,29883.01351179806,2015-05-21
350,29883.01351179806,2015-05-22
351,29883.01351179806,2015-05-26
352,29883.01351179806,2015-05-27
353,28278.92761018428,2015-05-28
354,38572.68511018428,2015-05-29
355,38572.68511018428,2015-05-29
356,38572.68511018428,2015-06-01
357,38572.68511018428,2015-06-02
358,38572.68511018428,2015-06-03
359,38572.68511018428,2015-06-04
360,38572.68511018428,2015-06-05
361,37027.098563866,2015-06-08
362,37027.098563866,2015-06-09
363,37230.375423937316,2015-06-10
364,47514.09042393732,2015-06-11
365,47514.09042393732,2015-06-11
366,47514.09042393732,2015-06-12
367,47514.09042393732,2015-06-15
368,47514.09042393732,2015-06-16
369,47514.09042393732,2015-06-17
370,46097.63324143207,2015-06-18
371,47384.446762946216,2015-06-19
372,47384.446762946216,2015-06-19
373,47384.446762946216,2015-06-22
374,47384.446762946216,2015-06-23
375,47384.446762946216,2015-06-24
376,47384.446762946216,2015-06-25
377,47384.446762946216,2015-06-26
378,47384.446762946216,2015-06-29
379,47384.446762946216,2015-06-30
380,47384.446762946216,2015-07-01
381,47384.446762946216,2015-07-02
382,47384.446762946216,2015-07-06
383,45866.35641747652,2015-07-07
384,45866.35641747652,2015-07-08
385,47141.8728861973,2015-07-09
386,47141.8728861973,2015-07-09
387,47141.8728861973,2015-07-10
388,47141.8728861973,2015-07-13
389,47141.8728861973,2015-07-14
390,47141.8728861973,2015-07-15
391,47141.8728861973,2015-07-16
392,47141.8728861973,2015-07-17
393,47141.8728861973,2015-07-20
394,47141.8728861973,2015-07-21
395,47141.8728861973,2015-07-22
396,47141.8728861973,2015-07-23
397,45777.19096270604,2015-07-24
398,47354.821737093196,2015-07-27
399,47354.821737093196,2015-07-27
400,47354.821737093196,2015-07-28
401,47354.821737093196,2015-07-29
402,47354.821737093196,2015-07-30
403,47354.821737093196,2015-07-31
404,47354.821737093196,2015-08-03
405,47354.821737093196,2015-08-04
406,47354.821737093196,2015-08-05
407,47354.821737093196,2015-08-06
408,47354.821737093196,2015-08-07
409,45809.2520724228,2015-08-10
410,45809.2520724228,2015-08-11
411,45809.2520724228,2015-08-12
412,47278.168375411304,2015-08-13
413,47278.168375411304,2015-08-13
414,45764.16008675426,2015-08-14
415,45764.16008675426,2015-08-17
416,45764.16008675426,2015-08-18
417,55931.99633675426,2015-08-19
418,55931.99633675426,2015-08-19
419,55931.99633675426,2015-08-20
420,55931.99633675426,2015-08-21
421,54734.69661930809,2015-08-24
422,55911.78792800481,2015-08-25
423,55911.78792800481,2015-08-25
424,55911.78792800481,2015-08-26
425,55911.78792800481,2015-08-27
426,55911.78792800481,2015-08-28
427,55911.78792800481,2015-08-31
428,55911.78792800481,2015-09-01
429,54894.63482483706,2015-09-02
430,54801.055331116484,2015-09-03
431,56506.5975931405,2015-09-04
432,56506.5975931405,2015-09-04
433,55021.31367530906,2015-09-08
434,55021.31367530906,2015-09-09
435,56517.23982127138,2015-09-10
436,56517.23982127138,2015-09-10
437,56517.23982127138,2015-09-11
438,55046.181518444275,2015-09-14
439,55148.18572602703,2015-09-15
440,55225.45896835955,2015-09-16
441,56347.38670869886,2015-09-17
442,56347.38670869886,2015-09-17
