,cash,dates
1624,652005.7609313122,2019-09-09
1625,652005.7609313122,2019-09-10
1626,652005.7609313122,2019-09-11
1627,653773.3984588113,2019-09-12
1628,653773.3984588113,2019-09-12
1629,653773.3984588113,2019-09-13
1630,653773.3984588113,2019-09-16
1631,650786.566447496,2019-09-17
1632,653719.5369641075,2019-09-18
1633,653719.5369641075,2019-09-18
1634,651886.3339550735,2019-09-19
1635,650878.3482797998,2019-09-20
1636,653655.7202704973,2019-09-23
1637,653655.7202704973,2019-09-23
1638,653655.7202704973,2019-09-24
1639,653655.7202704973,2019-09-25
1640,653655.7202704973,2019-09-26
1641,651771.0083488511,2019-09-27
1642,651771.0083488511,2019-09-30
1643,666104.7270988511,2019-10-01
1644,666104.7270988511,2019-10-01
1645,666104.7270988511,2019-10-02
1646,663716.9023964833,2019-10-03
1647,666412.0961803675,2019-10-04
1648,666412.0961803675,2019-10-04
1649,666412.0961803675,2019-10-07
1650,666412.0961803675,2019-10-08
1651,666412.0961803675,2019-10-09
1652,666412.0961803675,2019-10-10
1653,666412.0961803675,2019-10-11
1654,664589.9149053816,2019-10-14
1655,664589.9149053816,2019-10-15
1656,664589.9149053816,2019-10-16
1657,664589.9149053816,2019-10-17
1658,664589.9149053816,2019-10-18
1659,666237.0035627178,2019-10-21
1660,666237.0035627178,2019-10-21
1661,666237.0035627178,2019-10-22
1662,666237.0035627178,2019-10-23
1663,666237.0035627178,2019-10-24
1664,666237.0035627178,2019-10-25
1665,666237.0035627178,2019-10-28
1666,666237.0035627178,2019-10-29
1667,666237.0035627178,2019-10-30
1668,666237.0035627178,2019-10-31
1669,666237.0035627178,2019-11-01
1670,666237.0035627178,2019-11-04
1671,666237.0035627178,2019-11-05
1672,664373.2593984016,2019-11-06
1673,666201.8109882139,2019-11-07
1674,666201.8109882139,2019-11-07
1675,664094.2811321912,2019-11-08
1676,666160.01347109,2019-11-11
1677,666160.01347109,2019-11-11
1678,664254.6759944893,2019-11-12
1679,666143.1198204113,2019-11-13
1680,666143.1198204113,2019-11-13
1681,666143.1198204113,2019-11-14
