,dates,Price
460,2015-12-07,2078.12
461,2015-12-08,2066.76
462,2015-12-09,2045.97
463,2015-12-10,2051.81
464,2015-12-11,2012.05
465,2015-12-14,2020.11
466,2015-12-15,2044.04
467,2015-12-16,2075.41
468,2015-12-17,2049.13
469,2015-12-18,2005.44
470,2015-12-21,2016.91
471,2015-12-22,2036.86
472,2015-12-23,2063.82
473,2015-12-24,2060.99
474,2015-12-28,2056.54
475,2015-12-29,2077.93
476,2015-12-30,2064.35
477,2015-12-31,2049.56
478,2016-01-04,2008.87
479,2016-01-05,2016.52
480,2016-01-06,1987.42
481,2016-01-07,1947.22
482,2016-01-08,1922.49
483,2016-01-11,1927.13
484,2016-01-12,1939.25
485,2016-01-13,1891.49
486,2016-01-14,1921.07
487,2016-01-15,1880.52
488,2016-01-19,1884.74
489,2016-01-20,1864.38
490,2016-01-21,1872.72
491,2016-01-22,1906.53
492,2016-01-25,1877.38
493,2016-01-26,1901.16
494,2016-01-27,1881.24
495,2016-01-28,1892.81
496,2016-01-29,1937.8
497,2016-02-01,1941.34
498,2016-02-02,1902.78
499,2016-02-03,1912.73
500,2016-02-04,1913.95
501,2016-02-05,1874.12
502,2016-02-08,1853.28
503,2016-02-09,1853.09
504,2016-02-10,1850.41
505,2016-02-11,1834.54
506,2016-02-12,1862.4
507,2016-02-16,1894.03
508,2016-02-17,1926.46
509,2016-02-18,1917.42
510,2016-02-19,1917.01
511,2016-02-22,1943.74
512,2016-02-23,1923.28
513,2016-02-24,1929.11
514,2016-02-25,1949.2
515,2016-02-26,1948.05
516,2016-02-29,1937.7
517,2016-03-01,1974.01
518,2016-03-02,1984.01
519,2016-03-03,1992.8
520,2016-03-04,1999.81
521,2016-03-07,1998.14
522,2016-03-08,1979.99
523,2016-03-09,1986.37
524,2016-03-10,1987.7
525,2016-03-11,2021.32
526,2016-03-14,2021.58
527,2016-03-15,2013.6
528,2016-03-16,2028.07
529,2016-03-17,2041.59
530,2016-03-18,2049.39
531,2016-03-21,2050.55
532,2016-03-22,2048.77
533,2016-03-23,2037.92
534,2016-03-24,2034.6
535,2016-03-28,2037.5
536,2016-03-29,2054.64
537,2016-03-30,2065.04
538,2016-03-31,2062.71
539,2016-04-01,2072.78
540,2016-04-04,2066.13
541,2016-04-05,2044.83
542,2016-04-06,2066.05
543,2016-04-07,2040.01
544,2016-04-08,2044.17
545,2016-04-11,2043.31
546,2016-04-12,2059.78
547,2016-04-13,2081.2
548,2016-04-14,2082.49
549,2016-04-15,2079.46
550,2016-04-18,2093.46
551,2016-04-19,2099.25
552,2016-04-20,2103.27
553,2016-04-21,2091.53
554,2016-04-22,2091.4
555,2016-04-25,2084.27
556,2016-04-26,2090.38
557,2016-04-27,2096.7
558,2016-04-28,2072.88
559,2016-04-29,2064.52
560,2016-05-02,2081.18
561,2016-05-03,2064.39
562,2016-05-04,2052.43
563,2016-05-05,2048.6
564,2016-05-06,2054.69
565,2016-05-09,2058.74
566,2016-05-10,2083.88
567,2016-05-11,2064.89
568,2016-05-12,2063.6
569,2016-05-13,2046.61
570,2016-05-16,2066.62
571,2016-05-17,2046.4
572,2016-05-18,2043.22
573,2016-05-19,2041.47
574,2016-05-20,2051.32
575,2016-05-23,2049.23
576,2016-05-24,2077.09
577,2016-05-25,2090.17
578,2016-05-26,2089.87
579,2016-05-27,2098.24
580,2016-05-31,2098.39
581,2016-06-01,2098.29
582,2016-06-02,2103.42
583,2016-06-03,2100.17
584,2016-06-06,2109.74
585,2016-06-07,2112.25
586,2016-06-08,2118.55
587,2016-06-09,2115.48
588,2016-06-10,2096.45
589,2016-06-13,2079.34
590,2016-06-14,2074.49
591,2016-06-15,2070.3
592,2016-06-16,2077.82
593,2016-06-17,2070.97
594,2016-06-20,2084.64
595,2016-06-21,2089.03
596,2016-06-22,2086.53
597,2016-06-23,2111.29
598,2016-06-24,2044.55
599,2016-06-27,2000.87
600,2016-06-28,2034.68
601,2016-06-29,2069.61
602,2016-06-30,2095.32
603,2016-07-01,2104.32
604,2016-07-05,2088.59
605,2016-07-06,2099.52
606,2016-07-07,2097.43
607,2016-07-08,2130.33
